departamento,valor_adjudicado,fecha_publicacion,estado_adjudicacion,anio_publicacion
DISTRITO CAPITAL DE BOGOTÁ,0,2025-04-22,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2024-10-21,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2023-08-02,NO,2023.0
CAQUETÁ,0,2026-01-26,NO,2026.0
VALLE DEL CAUCA,0,2025-02-18,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2021-01-25,NO,2021.0
ATLÁNTICO,67293246,2024-02-02,SI,2024.0
VALLE DEL CAUCA,0,2026-03-11,NO,2026.0
SANTANDER,0,2023-03-06,NO,2023.0
ANTIOQUIA,0,2024-09-05,NO,2024.0
ANTIOQUIA,0,2022-01-10,NO,2022.0
DISTRITO CAPITAL DE BOGOTÁ,0,2024-09-23,NO,2024.0
NO DEFINIDO,0,2026-02-16,NO,2026.0
DISTRITO CAPITAL DE BOGOTÁ,1250000000,2021-10-14,SI,2021.0
DISTRITO CAPITAL DE BOGOTÁ,0,2025-02-06,NO,2025.0
META,0,2021-01-27,NO,2021.0
NARIÑO,0,2024-10-08,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2025-12-17,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2026-02-25,NO,2026.0
ATLÁNTICO,0,2025-10-23,NO,2025.0
ATLÁNTICO,0,2025-03-10,NO,2025.0
VALLE DEL CAUCA,0,2024-08-06,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2025-01-20,NO,2025.0
CUNDINAMARCA,0,2021-11-22,NO,2021.0
DISTRITO CAPITAL DE BOGOTÁ,0,2025-05-05,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2024-12-06,NO,2024.0
ANTIOQUIA,0,2025-12-04,NO,2025.0
NARIÑO,0,2023-11-17,NO,2023.0
BOLÍVAR,0,2024-02-26,NO,2024.0
DISTRITO CAPITAL DE BOGOTÁ,0,2020-09-21,NO,2020.0
CHOCÓ,0,2021-10-08,NO,2021.0
DISTRITO CAPITAL DE BOGOTÁ,0,2023-06-09,NO,2023.0
TOLIMA,0,2025-03-07,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2022-09-07,NO,2022.0
ANTIOQUIA,0,2022-01-20,NO,2022.0
CUNDINAMARCA,37000000,2024-11-21,SI,2024.0
VALLE DEL CAUCA,0,2025-10-24,NO,2025.0
NORTE DE SANTANDER,0,2026-01-07,NO,2026.0
VALLE DEL CAUCA,0,2025-11-19,NO,2025.0
DISTRITO CAPITAL DE BOGOTÁ,0,2024-02-10,NO,2024.0
RISARALDA,0,2022-01-17,NO,2022.0
DISTRITO CAPITAL DE BOGOTÁ,0,2021-01-12,NO,2021.0
